iter	Passed	Remaining
0	149	149470
1	152	76229
2	156	51931
3	159	39682
4	162	32305
5	167	27718
6	172	24445
7	177	21971
8	181	19932
9	184	18288
10	187	16892
11	190	15667
12	193	14659
13	195	13793
14	198	13012
15	200	12341
16	203	11760
17	205	11238
18	208	10759
19	210	10329
20	213	9946
21	215	9592
22	218	9271
23	221	8987
24	223	8735
25	226	8498
26	229	8258
27	231	8031
28	233	7819
29	235	7626
30	238	7445
31	240	7287
32	243	7131
33	245	6977
34	247	6826
35	249	6686
36	251	6553
37	253	6422
38	255	6300
39	257	6183
40	259	6071
41	261	5966
42	263	5866
43	265	5772
44	267	5679
45	269	5595
46	271	5512
47	274	5437
48	276	5360
49	278	5285
50	280	5212
51	282	5143
52	284	5077
53	286	5014
54	288	4957
55	290	4899
56	292	4846
57	295	4792
58	297	4741
59	299	4693
60	302	4649
61	304	4606
62	306	4565
63	309	4522
64	311	4479
65	313	4436
66	315	4396
67	318	4358
68	320	4321
69	322	4284
70	324	4248
71	326	4213
72	329	4178
73	331	4148
74	334	4121
75	337	4100
76	339	4073
77	342	4044
78	344	4016
79	346	3989
80	349	3967
81	352	3946
82	355	3923
83	357	3901
84	360	3880
85	363	3859
86	365	3835
87	368	3815
88	370	3792
89	372	3769
90	375	3748
91	377	3727
92	379	3704
93	382	3683
94	384	3664
95	386	3643
96	389	3622
97	391	3602
98	393	3581
99	395	3561
100	398	3544
101	400	3529
102	403	3511
103	405	3495
104	407	3477
105	410	3460
106	412	3443
107	414	3426
108	417	3410
109	419	3394
110	421	3379
111	424	3362
112	426	3346
113	428	3331
114	431	3318
115	433	3302
116	435	3289
117	438	3275
118	440	3260
119	442	3246
120	445	3233
121	447	3221
122	449	3206
123	452	3195
124	454	3181
125	456	3168
126	458	3155
127	461	3142
128	463	3129
129	465	3117
130	468	3105
131	470	3092
132	472	3081
133	475	3070
134	477	3060
135	479	3049
136	482	3036
137	484	3024
138	486	3014
139	488	3002
140	491	2993
141	493	2982
142	495	2971
143	497	2960
144	500	2950
145	502	2939
146	504	2929
147	507	2919
148	509	2909
149	511	2899
150	513	2889
151	516	2879
152	518	2869
153	520	2860
154	523	2851
155	525	2842
156	527	2832
157	529	2823
158	532	2814
159	534	2804
160	536	2795
161	538	2785
162	540	2776
163	542	2767
164	544	2758
165	547	2749
166	549	2741
167	552	2734
168	554	2726
169	556	2717
170	558	2708
171	560	2700
172	563	2692
173	565	2684
174	568	2678
175	570	2670
176	572	2661
177	574	2654
178	576	2646
179	579	2638
180	581	2631
181	583	2623
182	586	2616
183	588	2609
184	590	2601
185	592	2594
186	595	2587
187	597	2580
188	599	2573
189	602	2566
190	604	2559
191	606	2552
192	608	2545
193	610	2538
194	613	2531
195	615	2524
196	617	2517
197	619	2510
198	621	2503
199	624	2496
200	626	2489
201	628	2483
202	630	2477
203	633	2470
204	635	2463
205	637	2457
206	639	2450
207	641	2443
208	644	2438
209	646	2431
210	648	2425
211	650	2419
212	653	2413
213	655	2407
214	657	2401
215	659	2395
216	662	2390
217	664	2384
218	666	2378
219	669	2372
220	671	2366
221	673	2360
222	675	2354
223	678	2348
224	680	2342
225	682	2337
226	684	2332
227	687	2326
228	689	2321
229	691	2316
230	694	2310
231	696	2305
232	698	2299
233	701	2295
234	703	2290
235	706	2286
236	708	2280
237	710	2276
238	713	2271
239	715	2266
240	717	2261
241	720	2257
242	723	2253
243	726	2250
244	728	2245
245	730	2240
246	732	2234
247	735	2229
248	737	2224
249	739	2219
250	742	2214
251	744	2209
252	746	2204
253	749	2200
254	751	2196
255	753	2191
256	756	2186
257	758	2181
258	760	2176
259	763	2171
260	765	2167
261	767	2163
262	770	2158
263	772	2153
264	774	2148
265	776	2143
266	779	2138
267	781	2134
268	783	2129
269	784	2121
270	787	2117
271	789	2113
272	791	2109
273	794	2104
274	796	2100
275	799	2096
276	801	2091
277	803	2087
278	805	2082
279	808	2078
280	810	2074
281	812	2069
282	815	2065
283	817	2061
284	819	2056
285	821	2052
286	824	2047
287	826	2043
288	828	2038
289	830	2034
290	833	2029
291	835	2025
292	837	2020
293	839	2016
294	842	2012
295	844	2008
296	846	2004
297	848	1999
298	851	1995
299	853	1990
300	855	1986
301	858	1985
302	861	1981
303	863	1977
304	865	1973
305	868	1969
306	871	1966
307	873	1963
308	876	1959
309	879	1957
310	882	1954
311	884	1951
312	887	1948
313	890	1945
314	892	1941
315	895	1938
316	898	1935
317	900	1930
318	902	1926
319	904	1922
320	907	1918
321	909	1914
322	911	1910
323	913	1906
324	916	1902
325	918	1898
326	920	1894
327	922	1891
328	925	1887
329	927	1883
330	930	1879
331	932	1876
332	935	1873
333	937	1869
334	939	1865
335	942	1862
336	945	1859
337	947	1855
338	949	1851
339	951	1847
340	954	1843
341	956	1839
342	958	1836
343	960	1832
344	963	1828
345	965	1824
346	967	1820
347	970	1818
348	972	1814
349	975	1810
350	977	1806
351	979	1803
352	981	1799
353	984	1795
354	986	1792
355	988	1788
356	991	1785
357	993	1781
358	995	1777
359	997	1773
360	1000	1770
361	1002	1767
362	1005	1763
363	1007	1760
364	1009	1756
365	1011	1752
366	1013	1748
367	1016	1745
368	1018	1741
369	1020	1737
370	1022	1733
371	1024	1730
372	1026	1726
373	1029	1722
374	1031	1719
375	1033	1715
376	1036	1712
377	1038	1708
378	1040	1704
379	1042	1701
380	1044	1697
381	1047	1694
382	1049	1690
383	1051	1687
384	1054	1683
385	1056	1680
386	1058	1676
387	1061	1673
388	1063	1670
389	1065	1667
390	1068	1663
391	1070	1660
392	1072	1656
393	1075	1654
394	1077	1650
